Mes,TemperaturaPromedio (°C),Precipitación (mm),IncidenciaPlaga
2019-08,25.75,155.8,9
2024-06,23.67,124.8,3
2023-07,26.12,206.5,14
2022-01,17.8,27.7,0
2022-01,20.76,30.0,2
2025-01,20.18,74.2,3
2019-08,27.0,185.2,10
2023-11,18.83,50.2,4
2020-05,27.09,55.7,2
2019-08,25.76,186.6,9
2022-09,26.26,149.6,6
2025-10,24.0,46.4,5
2024-02,21.87,54.8,7
2024-04,24.94,80.5,8
2024-01,19.94,28.3,5
2024-07,25.33,223.2,11
2022-08,24.71,145.1,7
2019-11,19.98,68.6,4
2024-11,18.9,46.9,2
2022-02,19.18,5.3,3
2022-07,29.41,173.4,11
2021-08,24.56,145.9,7
2020-04,26.57,18.5,4
2025-06,25.48,136.0,5
2024-06,26.19,163.8,8
2023-07,26.56,199.9,5
2021-10,20.44,59.4,7
2024-10,20.78,96.7,7
2022-10,22.85,57.2,3
2022-02,16.83,28.5,0
2022-02,19.36,13.3,2
2020-08,23.97,141.6,8
2019-08,27.8,148.4,5
2022-11,17.9,57.8,1
2025-03,23.16,1.0,2
2019-06,26.11,117.7,10
2025-01,17.14,82.7,2
2024-10,26.01,66.8,5
2020-12,17.6,69.6,3
2023-06,26.35,161.2,7
2020-02,22.45,0.0,1
2024-04,22.73,27.7,1
2023-11,18.93,20.8,2
2021-06,28.1,163.5,8
2019-06,25.51,159.9,10
2025-10,21.76,95.7,3
2022-02,17.36,56.5,0
2025-04,23.32,17.2,5
2023-09,28.06,141.3,4
2024-06,23.01,123.6,7
2024-04,25.02,37.8,3
2020-05,24.67,46.8,4
2021-07,24.19,200.4,11
2022-04,27.15,71.6,6
2022-06,29.1,155.5,9
2019-04,22.5,67.9,8
2022-10,24.51,74.1,3
2020-01,18.37,69.0,1
2024-03,19.53,25.6,2
2023-10,22.94,100.6,10
2025-06,30.59,146.1,12
2024-03,23.84,29.2,6
2021-07,25.47,155.8,11
2025-10,27.72,72.9,11
2021-11,18.48,46.6,1
2021-04,22.32,40.5,4
2025-05,26.28,58.1,6
2021-08,27.47,175.5,10
2019-07,25.13,161.9,9
2022-04,23.42,35.1,2
2024-07,28.72,184.2,4
2020-04,21.48,56.0,1
2022-03,19.96,15.6,3
2019-11,22.48,36.7,2
2023-10,25.66,66.9,5
2022-04,24.09,50.2,2
2021-04,26.43,67.3,3
2020-08,24.85,140.0,10
2022-12,18.6,27.5,0
2023-09,27.53,161.3,6
2025-07,27.74,196.7,12
2022-01,18.54,11.8,1
2020-02,17.45,78.4,0
2024-10,21.6,79.0,6
2023-05,23.62,81.3,7
2023-11,18.03,20.0,0
2019-09,26.38,112.6,4
2021-03,21.17,1.4,6
2024-05,25.39,82.1,3
2024-10,21.9,80.8,3
2022-01,15.37,54.2,3
2024-08,22.81,170.1,5
2024-11,19.1,80.2,4
2021-09,26.82,117.0,3
2025-04,24.67,18.1,6
2021-01,18.68,17.1,3
2020-09,25.66,172.2,8
2023-10,19.17,57.4,3
2023-06,29.04,138.9,9
2019-12,15.78,61.5,0
2024-10,22.57,85.5,3
2020-05,25.88,51.2,11
2024-08,26.15,167.8,7
2019-01,19.56,48.2,4
2024-07,26.93,142.3,5
2024-07,26.3,195.3,14
2024-06,27.04,155.1,10
2023-08,24.46,168.3,4
2022-04,24.06,29.3,5
2023-12,17.28,52.5,2
2020-12,19.15,77.6,0
2024-06,28.35,149.5,15
2022-11,16.97,25.0,1
2022-03,24.34,34.9,8
2022-07,29.46,180.2,13
2022-12,24.13,47.5,10
2019-04,23.43,73.5,4
2019-12,17.66,59.6,0
2020-09,21.84,154.1,8
2019-10,20.37,52.4,4
2022-01,14.91,23.9,0
2023-09,22.38,152.2,9
2023-07,27.53,181.8,10
2022-04,26.64,47.7,7
2024-12,17.25,61.5,1
2022-12,18.38,40.3,1
2019-07,26.38,148.3,9
2024-05,23.33,78.8,8
2023-01,20.1,14.8,1
2023-06,29.57,115.9,10
2022-12,19.32,51.6,0
2022-11,20.23,24.9,2
2019-08,24.12,174.8,5
2022-11,16.2,56.8,1
2024-07,28.29,221.1,10
2021-02,23.06,4.5,5
2023-03,20.25,74.9,2
2019-03,22.94,73.4,2
2021-06,24.2,179.4,4
2022-01,14.29,47.2,0
2025-11,20.7,44.7,11
2020-07,26.75,176.6,15
2020-12,20.21,54.4,2
2021-11,18.19,50.1,1
2025-12,19.13,36.6,1
2024-12,15.03,42.7,1
2019-03,17.13,0.0,0
2020-08,27.72,151.3,13
2024-10,25.57,64.2,6
2019-05,27.04,55.4,6
2024-12,16.94,22.8,0
2020-12,19.41,45.6,3
2025-06,30.27,154.6,10
2021-01,16.53,44.0,3
2022-01,21.09,16.5,3
2023-08,32.1,157.7,9
2019-11,22.6,44.4,6
2022-11,17.46,57.9,0
2022-07,28.52,186.1,10
2024-06,29.35,158.9,13
2025-12,15.81,48.4,0
2023-08,24.63,146.9,6
2021-11,17.57,43.4,1
2021-11,19.05,81.0,3
2021-12,15.18,18.9,0
2024-09,24.36,125.0,6
2021-03,21.54,18.9,5
2020-03,24.12,19.0,7
2021-05,23.75,40.7,8
2019-02,18.82,30.9,2
2019-09,30.48,157.3,7
2019-08,23.79,158.0,8
2024-05,22.57,38.1,2
2024-01,18.04,9.5,0
2023-11,17.44,58.0,0
2022-03,18.4,30.9,0
2024-01,18.65,54.7,0
2020-02,17.04,16.7,0
2025-04,21.57,6.7,0
2022-07,28.25,148.0,6
2025-07,23.76,228.9,7
2020-01,17.51,23.7,0
2022-06,28.29,156.5,8
2023-11,21.51,57.0,7
2022-06,25.82,164.1,9
2022-02,20.98,0.0,2
2020-02,21.62,51.8,6
2021-09,21.87,144.4,6
2020-09,25.65,134.9,7
2021-02,16.93,18.9,0
2023-10,21.64,100.2,3
2023-05,26.55,104.8,11
2023-04,25.94,28.6,11
2021-07,28.17,191.9,12
2025-09,24.65,141.2,5
2019-08,25.73,182.3,4
2021-05,24.74,63.6,4
2019-10,22.69,76.8,11
2021-05,24.36,25.7,2
2025-09,23.47,116.3,7
2021-07,30.7,173.0,7
2025-05,28.94,60.6,6
2022-06,26.09,135.3,4
2023-11,22.02,43.9,4
2022-03,18.89,12.8,1
2020-11,20.61,47.1,8
2024-05,28.91,67.5,5
2025-10,20.34,53.4,6
2020-11,22.12,62.1,5
2024-06,28.17,108.0,4
2020-10,23.77,88.0,4
2024-01,15.99,55.6,0
2024-07,23.72,139.2,5
2022-02,19.02,42.8,4
2024-02,18.76,52.6,5
2020-11,17.62,36.2,0
2019-07,30.9,166.6,7
2019-09,23.08,168.2,2
2022-02,18.84,37.8,0
2025-04,21.76,18.0,5
2019-11,22.93,44.6,6
2022-03,20.26,30.8,2
2023-12,17.16,30.4,0
2020-05,28.32,56.3,5
2024-01,17.52,22.4,0
2021-02,13.92,41.0,0
2024-08,29.88,150.7,13
2023-01,17.12,0.0,0
2022-10,23.15,89.0,3
2020-03,23.19,10.6,3
2022-03,21.67,0.0,3
2024-12,18.44,38.9,0
2019-02,17.1,85.5,1
2024-04,24.23,16.3,7
2022-06,28.65,132.9,8
2024-01,16.21,0.0,0
2023-08,26.1,142.0,7
2022-01,18.68,22.6,1
2021-02,19.9,21.4,0
2023-05,22.89,48.2,6
2019-12,22.39,46.3,3
2023-02,20.22,0.0,2
2019-08,24.65,141.8,4
2023-07,26.07,166.3,9
2023-05,25.67,42.7,11
2019-08,23.51,163.9,4
2024-04,23.15,51.4,3
2021-11,17.96,52.0,1
2024-07,29.8,180.1,13
2019-04,24.81,46.8,6
2020-04,22.77,54.7,4
2022-06,26.0,185.7,14
2020-04,23.36,70.2,6
2021-04,23.0,5.2,4
2023-08,24.48,146.7,9
2020-01,15.89,36.4,0
2023-09,27.08,116.3,5
2019-09,22.0,139.8,4
2020-03,21.54,0.0,1
2023-02,13.61,49.9,0
2024-07,28.99,166.4,10
2020-03,21.64,20.5,1
2021-02,19.36,37.8,4
2025-06,28.38,170.9,10
2025-12,17.55,55.2,1
2023-01,20.58,24.1,3
2022-02,18.64,42.0,1
2021-06,29.01,167.4,11
2023-04,27.78,49.9,5
2023-02,16.72,16.4,0
2021-01,17.15,16.7,0
2019-02,13.38,4.9,0
2020-01,15.79,29.2,0
2025-09,28.68,147.8,5
2021-12,16.14,46.3,0
2022-05,23.91,50.6,6
2022-04,22.47,38.4,4
2024-06,27.33,132.6,5
2019-06,32.54,167.7,11
2019-07,26.8,171.1,5
2020-12,16.31,72.3,0
2022-05,24.76,47.0,8
2023-09,25.72,154.3,10
2022-06,28.6,158.5,7
2022-02,13.51,6.9,0
2025-07,27.49,202.6,8
2020-02,17.44,43.0,1
2023-01,17.78,27.9,0
2022-10,23.5,95.1,4
2022-04,21.14,70.7,4
2024-08,32.21,171.0,14
2020-11,18.02,71.2,1
2025-09,19.7,133.2,4
2021-04,24.06,28.0,6
2022-10,24.16,45.5,4
2022-08,28.19,156.1,9
2024-12,18.37,41.3,0
2022-01,17.92,33.5,0
2020-12,18.21,51.6,0
2019-02,17.66,54.4,2
2021-07,26.51,205.7,9
2024-10,23.37,59.9,1
2019-01,19.74,48.0,2
2025-04,23.6,75.7,6
2022-10,24.19,93.3,5
2019-12,16.12,43.6,0
2021-02,16.92,16.1,0
2022-11,21.05,28.0,2
2021-03,21.88,18.0,3
2019-10,20.07,58.0,2
2023-08,29.01,171.2,11
2023-09,29.21,164.8,12
2019-10,22.81,64.5,6
2020-12,20.45,33.3,3
2020-09,27.39,146.5,9
2023-08,24.59,172.4,8
2024-02,17.34,23.5,0
2024-02,23.13,26.6,3
2025-07,27.51,170.2,15
2024-05,26.39,25.8,7
2021-03,19.87,11.5,2
2019-10,23.1,62.1,3
2023-04,20.82,2.0,2
2025-05,23.46,31.8,1
2025-10,21.13,69.8,3
2020-08,24.41,156.5,5
2020-08,29.0,163.9,12
2019-04,22.46,2.0,1
2019-12,19.25,3.8,0
2022-11,21.81,29.0,1
2022-10,23.3,101.9,0
2021-08,26.46,159.5,3
2021-03,19.05,20.6,2
2024-10,21.65,104.4,7
2022-03,19.63,5.3,0
2024-08,26.06,179.2,8
2025-09,24.49,161.5,6
2021-03,19.37,42.8,2
2020-06,27.03,150.2,6
2025-09,22.15,133.4,4
2023-06,27.66,131.3,10
2021-01,20.16,0.0,5
2023-05,26.09,87.1,7
2022-08,26.85,146.9,10
2025-05,28.79,25.2,4
2020-10,20.85,84.6,4
2025-12,19.52,46.6,1
2025-07,27.14,156.6,9
2020-04,21.33,42.6,4
2020-02,21.39,42.7,3
2022-09,27.02,147.7,12
2019-04,25.7,21.0,4
2021-02,21.11,31.5,2
2022-01,20.96,45.7,2
2025-10,23.48,90.5,8
2025-12,20.72,27.6,2
2020-01,17.06,21.2,1
2025-03,19.01,43.2,2
2019-08,28.35,200.4,19
2024-03,25.85,27.0,7
2024-12,21.52,76.1,4
2025-03,21.98,21.5,6
2020-07,25.69,163.2,8
2025-04,26.2,13.8,5
2019-10,18.96,78.4,3
2022-08,25.37,170.9,2
